predict_summary,refer
"2021年12月20日，地理空间情报解决方案提供商Intermap Technologies获得了一份新合同，以支持美国空军研究实验室（AFRL）开发在GPS受限环境下的导航解决方案。
这是该公司今年与美国空军签订的第八份政府合同。
总部位于美国科罗拉多州的Intermap专门收集来自电磁频谱的全球范围和精确的非结构化原始数据，然后将其扩展为网格化或网状的三维高程模型（DEMs）。
AFRL将利用Intermap的这些能力来支持其定位、导航和定时（PNT）系统。
根据合同，Intermap还将提供必要的工程和科学支持，除了提供相关数据、技术和低延迟的采集和处理能力。
Intermap董事长兼首席执行官Patrick A. Blott表示：“在GPS受限环境中运作时，Intermap利用独特的商业能力和经验，可以帮助空军在需要替代导航方法的情况下实现期望的效果。
“在这份新的主合同下，Intermap将与AFRL合作，帮助他们推进支持多域作战、远程精确打击、部队保护和机动性的下一代导航系统。”
该合同是在美国国防部正在评估不同方法以在具有挑战性环境中为作战人员提供绝对定位和导航能力的背景下签订的。",互图技术公司（Intermap）将为美空军研究实验室（AFRL）开发下一代定位、导航与授时（PNT）系统技术，旨在实现GPS受限、干扰环境下的定位/导航能力，支撑美军实现多域作战、远程精确打击、部队防御/机动等任务目标。
"美国国家航空航天局（NASA）正在与能源部（DOE）合作，推进太空核技术。政府团队已选择了三个反应堆设计概念提案，用于核热推进系统。该反应堆是核热发动机的关键组件，将利用高浓缩低浓缩铀燃料。
这些合同将通过能源部的爱达荷国家实验室（INL）进行招标，每个合同价值约500万美元。它们将资助开发符合特定性能要求的各种设计策略，有助于深空探索。
与化学火箭相比，核推进提供更高的推进剂效率。它是载人和货物前往火星以及科学任务前往外太阳系的潜在技术，可以实现更快速、更强大的任务。
NASA航天技术任务总局副局长吉姆·罗伊特表示：“通过政府和工业界的合作，美国正在推进太空核推进技术。这些设计合同是朝着有望推动新任务和激动人心的发现的实质性反应堆硬件迈出的重要一步。”
负责INL的管理和运营承包商Battelle Energy Alliance领导了由NASA资助的2021财年招标、评估和采购工作。INL将向以下公司授予为期12个月的合同，每个公司都将制作一个概念反应堆设计，以支持未来的任务需求：
弗吉尼亚州林奇堡的BWX Technologies, Inc. - 该公司将与洛克希德·马丁公司合作。
圣地亚哥的General Atomics Electromagnetic Systems - 该公司将与X-energy LLC和AerojetRocketdyne公司合作。
西雅图的Ultra Safe Nuclear Technologies - 该公司将与Ultra Safe Nuclear Corporation、蓝色起源公司、通用电气日立核能公司、通用电气研究公司、Framatome公司和Materion公司合作。
INL的国家技术总监、太空核能和同位素技术部主任斯蒂芬·约翰逊博士表示：“INL很高兴能够推动太空核推进技术的发展，以供NASA在未来的太空探索中使用。我们的国家实验室与工业界合作，拥有无与伦比的专业知识和能力，可以帮助NASA解决核能和推进技术所带来的高度复杂的挑战。”
合同履行期结束后，INL将对反应堆概念进行设计评审，并向NASA提供建议。NASA将利用这些信息为未来的技术设计和开发工作奠定基础。
NASA还在为月球和火星的使用成熟的裂变表面动力系统。NASA打算与能源部和INL合作，发布一份招标要求，要求工业界提供一个10千瓦级系统的初步设计，NASA可以在月球表面进行演示。成熟的裂变表面动力系统也可以帮助推进核电推进系统的发展，这是另一种适用于远距离目的地的推进技术。
NASA的太空核技术组合由其航天技术任务总局领导和资助。该机构的技术示范任务计划管理项目，以发展经济实惠、可靠的技术，并展示系统能力","美国NASA正与能源部开展合作，通过政府与工业界的合作推进空间核技术研究项目，为深空探索项目奠定技术基础。
近期，基于NASA 2021财年预算，美国能源部爱达荷国家实验室（INL）向BWX技术、通用原子电磁系统和超安全核技术等三家公司售出了核热推进系统反应堆概念设计合同。每家公司都将获得500万美元，需在12个月时间内独立完成采用高丰度地浓缩铀核燃料的核热推进系统反应堆设计。在合同期结束时，INL国家实验室将对这三个反应堆概念设计方案进行设计审查，并将审查结果提交给NASA，用于支撑其未来的深空探索技术设计与开发。
另外，NASA也在推进用于月球和火星表面的裂变能源技术的发展，计划与能源部和INL合作，发布一份征询建议书，要求工业界初步设计一个10千瓦级的系统，为NASA的月面演示验证任务提供基础。"
"美国能源部斯坦福线性加速器中心（SLAC）国家加速器实验室的X射线自由电子激光（LCLS）项目进行了升级，成功建造了一条半英里长的隧道，用于新的超导粒子加速器。该加速器已被成功冷却至零下456华氏度（摄氏零下271度），达到超导状态，可以将电子提升到高能状态，几乎没有能量损失。这是LCLS-II项目在产生X射线脉冲方面的最后一个里程碑，新的X射线脉冲平均亮度比LCLS高出10,000倍，每秒可达百万次，创造了当今最强大的X射线光源世界纪录。

LCLS-II项目的实现将推动X射线科学进入新的水平，为一系列研究和开发具有革命性技术的能力铺平道路，以应对社会面临的一些重大挑战。科学家们可以利用这些新的能力，以前所未有的分辨率研究复杂材料的细节，推动新型计算和通信形式的发展；揭示罕见而短暂的化学事件，以教导我们如何创建更可持续的工业和清洁能源技术；研究生物分子如何执行生命功能，以开发新型药物；通过直接测量个别原子的运动，窥探量子力学的奇异世界。

LCLS-II项目的升级过程包括安装了37个低温加速器模块，这些模块内部包含珍珠般的铌金属腔体，通过三层冷却设备降低温度，直至接近绝对零度，使铌腔体达到超导状态。为了达到这一温度，SLAC配备了两个世界级的氦制冷装置，使其成为美国和全球重要的低温标志之一。

LCLS-II项目还需要其他先进的组件，包括新的电子源和两个新的弯曲磁铁串，可以产生“硬”和“软”X射线。硬X射线更具能量，可以让研究人员在原子水平上成像材料和生物系统。软X射线可以捕捉能量在原子和分子之间的流动，追踪化学反应过程，为新能源技术提供洞察。为了实现这个项目，SLAC与其他四个国家实验室（Argonne、伯克利实验室、费米实验室和杰斐逊实验室）以及康奈尔大学合作。

现在，加速器已经冷却到最终温度，下一步是将其加速器模块注入超过一兆瓦的微波功率，以加速新源的电子束。通过腔体的电子将从微波中吸取能量，以至于当电子通过所有37个低温加速器模块时，它们将接近光速。然后，它们将被引导通过弯曲磁铁，使电子束沿着锯齿状路径运动。如果一切都完美对齐，电子将发射出世界上最强大的X射线脉冲。

LCLS-II与LCLS使用相同的过程来产生X射线。然而","近日，美国SLAC国家加速器实验室研究人员开发出一种新型超导X射线激光器。坐落在加利福尼亚州门洛帕克地下30英尺处，一条半英里长的隧道中容纳了一个新型超导粒子加速器,研究人员已经成功将该加速器冷却到零下456华氏度，在这个温度下，它可以将电子提升到高能量，而在这个过程中不会产生任何能量损失。该加速器产生的X射线脉冲比前一代加速器产生的X射线脉冲亮1万倍，而且其频率达到每秒钟100万次，使它能够在几分钟内产生以前需要几个月才能收集到的数据，这是迄今为止最强大的X射线光源。该成果将使X射线科学更上一层楼，为一系列全新研究铺平了道路。"
"美国海军导弹专家要求雷神科技公司为BGM-109战斧导弹Block 5A提供导弹搜索头升级套件，以使该武器能够打击海上移动目标。
马里兰州帕图森特河海军航空系统指挥部的官员周五宣布，向雷神导弹与防御部门在亚利桑那州图森市的分部下达了一项价值4040万美元的订单，用于建造低速生产的海上打击战斧传感器搜索头套件，为海上打击战斧提供中程和末程制导，使其能够从海军水面战舰和潜艇上攻击敌方舰船。
海上打击战斧，也称为战斧Block 5A，于2021年推出，改进了导航和飞行中的目标定位，使这种远程亚音速武器具备了反舰导弹能力。该导弹可从海军水面战舰和潜艇发射。
这些搜索头套件将安装在美国海军的重新认证的战斧导弹上。海上打击战斧Block 5A具有更新的搜索头技术和处理能力，使导弹能够打击海上移动目标。
海军联合特遣部队指挥官越来越面临远程反舰导弹的威胁，这些导弹威胁到他们的水面部队，并有可能限制对关键任务区域的进入，因此他们需要一种近期能够对抗敌方水面部队的能力。海军官员表示，如果没有这种能力，海军可能面临人员伤亡或关键任务失败的风险。
海上打击战斧将增强美国海军和空军更先进的AGM-158C远程反舰导弹（LRASM）的能力，该导弹可以从海军F/A-18E/F超级大黄蜂喷气式轰炸机以及空军B-1B长程战略轰炸机发射。
LRASM还被考虑用于从F-35闪电II联合攻击战斗机、P-8A波塞冬海上巡逻机以及海军Mark 41舰载垂直发射系统和潜艇发射器发射。
LRASM以高亚音速飞行，未来可能会被预期的新一代高超音速导弹所取代。潜艇发射版本正在考虑中。
对于海上打击战斧，雷神公司可以将新的传感器套件整合到战斧导弹中，包括新的搜索头、处理器、软件和用于末段机动的新惯性测量单元，以及重新设计的功率预算和系统冷却。","美国海军导弹专家要求雷声技术公司为BGM-109“战斧”导弹Block 5A提供导引头升级组件，以提升该导弹打击海上移动目标的能力。
美海军航空系统司令部官员上周五宣布授予雷声导弹防御部门4040万美元的合同，用于低速生产的“海上打击战斧”导引头组件，以提供中段和末段制导，使“海上打击战斧”能够从海军水面战舰和潜艇上攻击敌舰。美国防部称，该导引头组件将安装在经过重新认证的海军“战斧”导弹中，预计于2024年10月完成。配备新型传感器和处理器的“战斧”导弹，能够击中海上移动目标，其打击海上目标和海下平台的能力将得到进一步提升。"
美国海军的瓦斯普级两栖攻击舰巴坦号（LHD 5）已安装了首台永久性金属三维打印机。这一安装是美国海军海洋系统指挥部（NAVSEA）技术办公室和大西洋舰队司令部的联合举措。巴坦号上安装的设备包括一台菲利普斯增材混合系统，该系统由一台激光金属线沉积头（称为Meltio3D）和一台Haas TM-1数控铣床组成。Meltio3D和Haas TM-1共同提供减法和增材制造（AM）能力，以提高效率并减少浪费，与传统加工相比。这一新系统可以打印316L不锈钢，这是船舶系统中常见的材料。它还将为水手们提供经济实惠的工业级制造能力，以打印系统的特定零部件。除了3D打印机，NAVSEA工程师还在瓦斯普级舰艇上安装了第二台3D打印机，用于生产聚合物（塑料）部件。第二台打印机将允许船员打印任何由NAVSEA开发的300个AM技术数据包，以支持船舶零部件的制造。大西洋舰队司令部的海军上将布伦丹·麦克莱恩表示：“将AM引入海军作战支持了战备和自给自足。”3D打印或AM的过程允许将不同材料连接在一起，以逐层制造3D模型数据的零部件。它与减法和成形制造方法不同。,"基于美国海军海上系统司令部（NAVSEA）技术办公室和大西洋海军水面部队指挥官的联合倡议，美国海军在“黄蜂”级两栖攻击舰巴丹号（LHD 5）安装了首台永久性金属3D打印机。该金属3D打印机采用飞利浦增材混合系统，该系统集成了激光金属丝沉积头“Meltio3D”和哈斯TM-1计算机数控铣床，具备增材和减材加工功能，可打印316L不锈钢材料，提供特定部件的具有成本效益的工业级制造能力。
除金属3D打印机外，NAVSEA工程师还在“黄蜂”级船上安装了一台用于生产聚合物（塑料）零部件的3D打印机，该打印机能够打印NAVSEA开发的300个增材制造技术数据包中的任意船舶零部件。"
"乌克兰希望筹集足够的资金来建造100艘无人水面舰艇，以对抗俄罗斯的黑海舰队。
乌克兰政府通过其UNITED24筹款平台发布了无人水面舰艇的新视频和图片，作为为这些舰艇筹集资金的努力的一部分。这些舰艇长18英尺，据说能够携带多达400磅的战斗负载，最高时速约为50英里。每艘无人水面舰艇的价格为25万美元，网站上称包括一个地面自主控制站、一个运输和储存系统以及“一个数据处理中心”。目前尚不清楚数据处理中心的具体含义，UNITED24的官员拒绝回答，称涉及作战安全问题。
考虑到部分费用包括运输和储存系统，以及可能的数据处理中心，仅仅无人水面舰艇的实际成本可能更低。尽管目前还不清楚它们为什么会那么贵，但它们是手工制作的，并且具备一些关键的技术。无论如何，它们的价格比像海军打击导弹这样的东西要便宜几个数量级，例如，海军打击导弹的单价为219.4万美元。
UNITED24是乌克兰总统弗拉基米尔·泽连斯基发起的一个倡议，旨在为乌克兰的军事和民用领域筹集资金。
“我们必须保护我们的海洋和和平城市免受俄罗斯从舰艇上发射的导弹的威胁，”泽连斯基在周五在他的Telegram频道上写道。“海军无人机还将帮助为全球运输谷物的民用船只打开通道。”
泽连斯基提到了之前在网站上展示的无人水面舰艇的使用情况。
“我相信数百万人将支持乌克兰国防的这个重要领域，”他说。“每个人都已经看到它的工作方式。”
乌克兰海军司令部副司令奥列克西·内日帕帕上将在一份媒体新闻稿中表示，泽连斯基的观点得到了他的支持。
“这种海军无人机已经证明了它们的有效性，并且可以显著改变黑海的局势，”他说。
UNITED24网站上发布的图像和视频显示，一艘无人水面舰艇与乌克兰在10月29日对俄罗斯黑海舰队塞瓦斯托波尔基地发动的袭击中使用的无人水面舰艇非常相似。
尽管UNITED24声称这次袭击至少损坏了三艘俄罗斯军舰，包括“阿德米拉尔·格里戈罗维奇”级护卫舰“阿德米拉尔·马卡罗夫”，据报道这是黑海舰队在4月份沉没的“莫斯科”级巡洋舰之后的新旗舰，但这些说法尚未得到证实。
当乌克兰的无人自杀式无人船首次出现在克里米亚的一处岩石滩上时，人",乌克兰希望筹集足够的资金建造100艘无人驾驶的水面舰艇，以对抗俄罗斯的黑海舰队。这些无人艇能够打击约800千米以外的目标，携带多达180千克的战斗载荷，最高的最大速度约为43节。每艘无人舰艇的价格预计为25万美元，其包括一个陆基的自主控制站，一个运输和存储系统，以及一个数据处理中心。这些无人舰艇可以参与远程海上侦察和海岸监视、保卫港口基地和反击两栖行动等。在战争中，俄罗斯已经向乌克兰发射了4500多枚导弹，其中20%来自海上。 
"根据2022年2月11日美国国防部发布的信息，下一代登陆艇“船到岸连接器”（SSC）和“气垫登陆艇”（LCAC）成功完成了与“卡特·霍尔”号（LSD 50）的舱口互操作性测试。
这次演练是舰船接口测试的第一阶段，通过多次从“卡特·霍尔”号进出舱口，验证了用户需求。LCAC的配置、尺寸和间隙与传统LCAC相似，确保与现有装备舱口的两栖舰艇兼容。
随着LCAC 103的最近交付并飞往NSWC巴拿马城，该计划目前正在LCAC 104-116上进行批量生产。另外四艘船艇的交付计划定于今年晚些时候进行。
“船到岸连接器”（SSC），也被称为LCAC 100级，是美国海军提出的取代“气垫登陆艇”的系统。其最高速度为50节（58英里/小时；93公里/小时）。
“卡特·霍尔”号（LSD-50）是美国海军的哈珀斯费里级船坞登陆舰。该舰于1993年10月2日下水，1995年9月30日服役。",美国防部2月11日发布信息称，下一代登陆艇“岸舰连接器”（SSC）成功完成了与美海军“卡特霍尔”号船坞登陆舰（LSD 50）的井甲板互操作性测试。该测试是作为舰船接口测试第一阶段的一部分进行的，通过在“卡特霍尔”号船坞登陆舰上执行多次井甲板进出，帮助验证用户需求。SSC是美国海军提出的一种新型气垫登陆艇（LCAC），也称为LCAC 100级，最高航速50节（93千米/小时），其构造、尺寸与传统LCAC相似，以确保与现有的两栖舰船相兼容。目前，LCAC 103已交付美海军水面作战中心巴拿马城分部，并正在进行LCAC 104–116的批量生产，今年晚些时候还将会有4艘交付。
"前任代理陆军部长约翰·惠特利在一篇专栏文章中提到，为了提高军事效率，可以借鉴一些来自一级方程式赛车的方法。
最近，美国空军研究实验室在德克萨斯州圣安东尼奥的西南研究所为政府和工业界代表展示了先进自动化敏捷航空应用（A5）机器人系统的先进能力。（美国空军照片/发布）
随着技术的飞速发展，武器设计的新方法也在不断涌现，从即时3D打印到虚拟复制真实系统并在网络空间进行实地测试。在下面的专栏文章中，前任代理陆军部长约翰·惠特利认为五角大楼必须做出更多努力来拥抱科技竞赛，并改变其官僚作风。
在两个十年的反恐战争之后，美国在重新聚焦近对等对手时处于劣势。中国和俄罗斯一直在投资和现代化，以削弱美国的优势，他们日益增长的侵略行为，如俄罗斯入侵乌克兰，使我们的国防现代化加速成为国家安全的必要条件。
国防企业正在做出回应。国防采购的最近改革正在紧随其后，国防部资源管理流程的改革委员会也在进行中：规划、编程、预算和执行（PPBE）委员会。这些流程改革是有价值的步骤，可以消除障碍，但它们本身并不能加速现代化。
为了保持领先，国防部必须利用这些更灵活的流程采用创新的商业实践，如数字化转型和按需购买能力-这些有价值的战略必须成为PPBE委员会的优先事项，并且在与工业界合作时，国防部本身必须给予激励。
数字化转型被称为第四次工业革命，正在重塑各个行业。在开发过程中，它可以通过使用“数字孪生”来实现更快速、更灵活的设计迭代-缩短流程，同时提高与任务需求的一致性。产品的这种虚拟表示可以进行“先建后建”和“先飞后买”的快速模拟，以减少风险并加快从设计到投入使用的时间。
这是德勤所称的物理到数字到物理（PDP）循环的第一个要素。通过从物理数据创建数字记录，可以在虚拟环境中执行开发活动-节省时间，同时增加减少风险的可能性范围。这种数字化甚至可以在国防部缺口分析的规划和需求阶段开始。
然后，这些数字化工程设计可以更快地通过原型制作、测试和生产，因为数字孪生提供了打印初始零件、合并修改和提供机器人和增材制造过程所需的数据。这种“数字线程”完成了PDP循环，因为数字表示指导着物理生产。通过进行数千次“数字测试”来补充物理测试，可以增强测试并减少风险。
更新的数字孪生与物理产品相匹配，然后支持运营和维护。",美陆军前代理部长约翰·惠特利在一篇文章中表示，美国防部需改革部门流程，重视技术发展。首先，国防部应将数字化扩展到更多的能力和技术领域，包括维持现有部门运转和开展新的技术研发工作。其次，国防部在撰写提案要求、选择奖励对象和发布合同时，须重视先进技术发展以激励工业界。第三，国防部还应通过规范申请材料和加速技术认证过程，让工业发展道路更加顺畅。当今世界主要国家在大力发展技术，美国防部须通过大规模地实施数字化转型的方式积极应对，保持美国技术领先地位。
"2022年5月31日，英国皇家海军公布了加强其猎杀型潜艇的计划，采用最新的巡航导弹系统。
具体而言，所有阿斯图特级潜艇将获得升级版的“战斧”巡航导弹，作为对潜艇主力远程武器的2.65亿英镑升级计划的一部分。
战斧陆地攻击导弹（TLAM）已从现有的IV型升级到V型，以确保其对未来威胁和防御的有效性。
因此，英国的IV型导弹库存将在为期五年的计划中转换为V型，计划于7月开始。
该导弹长5.6米，重约2吨。它可以在距离发射平台最多1000英里的范围内打击目标，历史上是斯威夫特舰和特拉法尔加级潜艇，过去十年是驻扎在法斯兰的阿斯图特级潜艇。
V型导弹的改进之一将是提高阻止干扰/偏离战斧导弹的能力。
除了升级导弹本身外，潜艇上的指挥系统和岸上支持系统也将进行现代化改造，以满足对改进型战斧的需求和要求。
首批升级版战斧导弹将于2024年交付皇家海军舰队，随后一艘阿斯图特级潜艇将进行测试发射。",作为2.65亿英镑潜艇远程武器系统升级计划的一部分，英国海军拟对所有“机敏”级潜艇的巡航导弹系统进行升级，将现役“战斧”对陆攻击巡航导弹从Block Ⅳ型升级至Block Ⅴ型，以提高其反拦截和锁定目标的能力，确保其对未来威胁和防御仍然有效。升级工作将于2022年7月开始执行，利用5年时间完成，首批完成升级的“战斧”导弹将于2024年交付英国海军，并计划于次年由“机敏”级潜艇进行试射。
"美国国家航空航天局（NASA）已授予内布拉斯加大学奥马哈分校（UNO）的研究人员和智利纳米技术公司Copper3D 113万美元的资助，用于开发和测试两种新的可回收和抗菌材料，以供太空制造使用。这项由NASA的“促进竞争性研究计划”（EPSCoR）全额资助的合作将帮助探索在太空任务中保护宇航员免受微重力和封闭空间中微生物和寄生虫污染的新方法，这种污染在太空中明显增加。

在这项资助下，Copper3D将开发两种新的抗菌材料，并在地球上的Additive Manufacturing Facility（AMF）的复制品中进行制造和安全测试。AMF是一种商业制造平台，位于国际空间站（ISS）的低地球轨道（LEO）上。一旦材料的安全性得到验证，团队将准备材料进行发射、操作、测试和返回地球的活动。

内布拉斯加大学奥马哈分校生物力学系的研究人员将与NASA和3D打印机制造商Made in Space（现为空间公司Redwire的子公司，是AMF太空3D打印机的创造者）合作，创建最终太空设备或测试样品的打印模型，并在地球上进行抗菌效果的后期测试。

作为此项目的合作研究人员之一，内布拉斯加大学奥马哈分校的3D打印义肢和矫形设备教授Jorge Zuniga描述了在太空任务中拥有具有抗菌性能的新材料工具、医疗设备和其他物品的重要性。此外，内布拉斯加大学奥马哈分校生物力学康复与制造倡议（BRMI）的联合主任表示，最具挑战性的问题包括寻找解决长期太空任务船员“免疫系统失调”的方法，这意味着身体无法控制免疫反应。

Zuniga表示，最重要的是，他们一直在寻找对微重力趋于耐药的细菌和病毒的解决方案，而这与之前的因素相结合，使得超过六个月的轨道太空任务变得非常危险。

然而，根据Zuniga的说法，研究还必须考虑到另一个后勤因素。考虑到国际空间站和其他未来太空探索站的有限空间，载人任务需要越来越自主和分散的后勤支持系统，这样它们就不需要使用宝贵的货物空间来存放补给品和材料。近年来，针对这个问题提出的最佳解决方案之一是3D打印技术。理想情况下，宇航员可以在长时间太空任务期间完全按需制造自己的备件和医疗设备。

然而，随着航天机构和私营公司准备提供太空内制造设备的太空技术，以便能够持续支持太空探索，Copper3D已经开始将循环概念纳入他们的研究中。这个想法","美国国家航空航天局（NASA）通过促进竞争性研究试验计划（EPSCoR），向内布拉斯加大学奥马哈分校（UNO）和智利纳米技术公司Copper3D资助了113万美元，以开发和测试两种用于太空增材制造的新型可回收抗菌材料。这项合作将有助于探索新的方法，以确保宇航员在执行太空任务期间免受微生物和寄生虫感染。
Copper3D公司将开发两种新型抗菌材料，然后通过增材制造设备（AMF）复制品，在地球上制造和进行安全性测试。AMF是由太空制造公司制造的在近地轨道国际空间站（ISS）内运行的商业制造平台。UNO生物力学系将与NASA以及MIS合作，打印最终太空制造设备或复制品，并对材料在地球上的抗菌效果进行后期测试。
因为国际空间站和太空探索站可用空间有限，增材制造技术可以帮助宇航员在长时间执行太空任务中按需自行制造备件和医疗设备，减轻后勤负担。此外，Copper3D公司在研究中加入材料循环概念，即在不同应用中多次使用相同材料。因此，这种材料必须经过多次回收和再制造过程，而不会失去其抗菌性能。这将减少所需原材料类型，从而降低运输重量、节约时间并减少补给任务，使未来空间任务更加可行和安全。"
2021年11月18日，英国皇家空军迈出了减少飞机碳排放的重要一步，宣布该部门与商业合作伙伴Zero Petroleum完成了世界上首次使用100%合成燃料进行飞行的壮举。使用该公司的UL91燃料，这次在11月2日从科茨沃尔德机场起飞的Ikarus C42微型飞机的飞行持续了21分钟。这次成功的飞行被皇家空军高级试飞员彼得·哈克特上校记录在吉尼斯世界纪录中，成为首次仅使用合成燃料的飞机的世界纪录。这一举措是皇家空军减少碳排放的更广泛努力——“马丁计划”的一部分，由皇家空军资助。皇家空军快速能力办公室负责领导关于合成燃料在减少空军排放中的作用的研究工作。英国国防部在一份声明中表示，这项技术“有可能每次飞行节省80-90%的碳排放，支持皇家空军的愿景，即合成燃料将在未来的喷气式战斗机动力中发挥重要作用。”皇家空军此前已经表示，计划在本十年后期开始替换飞机上的石油燃料。替换90架活塞动力的Grob Aircraft T1 Tutor初级飞行教练机可能是首批实现零碳排放的飞机之一。Zero Petroleum是一家由非常成功的一级方程式赛车工程师帕迪·洛和伦敦帝国理工学院化学工程系主任尼莱·沙赫创立的英国小公司。洛表示，这种航空燃料被称为ZERO SynAvGas，是“在五个月内开发出来的，并且在飞机上作为整体混合燃料成功运行，没有对飞机或发动机进行任何修改。”Zero Petroleum首席执行官说：“发动机制造商Rotax的测量结果和试飞员的观察结果显示，与标准化石燃料相比，动力或整体性能没有任何差异。”该燃料通过从水中提取氢气和从大气中提取二氧化碳，再利用风能或太阳能等可再生能源，将二者结合制造合成燃料。Zero Petroleum及其技术合作伙伴IGTL在苏格兰的彼得黑德建造了一座生产工厂，创纪录地快速完成。然后，该工厂被安置在奥克尼群岛的比利亚克鲁地区，进行燃料制造操作，时间为9月和10月。英国国防采购部长杰里米·奎恩表示，这一发展表明军方在满足作战任务的同时，坚决追求“零排放”。他说：“虽然像电力和氢能发电这样的绿色技术对许多皇家空军平台来说是可行的，但高性能飞机需要像UL91这样的液体燃料替代品，以保持作战能力。”奎恩补充说：“这只是众多创新之一，我们正在进行一系列的研究和开发活动，以,2021年11月17日，英国空军宣布与商业合作伙伴零石油公司（Zero Petroleum）共同完成了世界首次使用100%合成燃料的飞行，使削减飞机碳排放迈出了里程碑式的一步。
"YESvGaN联盟的目标是基于氮化镓（GaN）创建一种新型垂直功率晶体管，从而在低成本下最大限度地提高功率转换效率。这些新型功率器件将宽禁带（WBG）半导体的效率与成熟的硅半导体技术的低成本相结合。YESvGaN项目涵盖了从晶片到应用所需的新技术的开发。
自2021年5月1日项目启动以来，由23个欧洲合作伙伴组成的项目联盟取得了令人瞩目的进展。成功制造了具有FinFET结构和肖特基二极管的垂直器件演示样品，这些是新型垂直膜晶体管技术的重要组成部分。此外，已经在硅和蓝宝石上生长了具有超过500V击穿电压的垂直层堆叠。
这是实现项目总体目标的重要一步，即在低成本的硅或蓝宝石基底上实现1200V的阻断电压。因此，未来高性能应用市场，例如汽车工业，可能会对氮化镓半导体材料开放。
对于具有背面接触的超低电阻贡献的垂直GaN功率晶体管，可靠的膜工艺技术的开发至关重要。YESvGaN成功地制造了这种脆弱的几微米厚度、几毫米直径的GaN膜而不会破裂。
正在测试新型组装和互连技术，以在极端条件下最终应用膜式垂直GaN功率晶体管。这包括超过250°C的工作温度。此外，正在开发虚拟原型，使用数字孪生技术评估GaN器件在目标应用中的效率。
我们相信YESvGaN将在项目的下一阶段继续取得有希望的成果，并迈出向完全垂直GaN膜晶体管的重要一步。
由Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie IISB提供。",近日，德国弗劳恩霍夫研究所研究人员基于氮化镓技术开发出新型垂直功率晶体管。这种新型功率器件兼具宽禁带半导体材料器件的效率和现有硅基半导体器件的低成本优点。对于具有极低背接触电阻的垂直氮化镓功率晶体管，开发可靠的薄膜工艺至关重要。研究人员成功生产了厚度仅为几微米，直径只有几毫米的氮化镓外延薄膜。为在极端条件下应用薄膜垂直氮化镓功率晶体管，研究人员开发了全新的封装和互连技术，并利用虚拟样机评估了氮化镓器件在目标应用中的工作效率。器件的垂直叠层在硅和蓝宝石上生长，其二极管击穿电压超过500 V，为向在低成本硅或蓝宝石衬底高实现达1200 V阻断电压目标迈出了关键一步。该研究成果将有望通过低成本技术最大限度提升电力转换效率，以应对全球能源危机的挑战。
"美国国防部可能很快被要求为台湾起草加快获取改进的防空和导弹防御能力的选项，这一评估可能为将来向被北京视为分裂省份的自治岛屿出售新的导弹拦截器、雷达等设备打下基础。
众议院军事委员会在其2023财年国防政策法案中建议，要求国防部长在明年三月之前向该委员会介绍改进台湾防空和导弹防御能力的方法。
如果通过，该条款将要求五角大楼对台湾的防空能力和容量进行评估，以应对中国的空中和导弹威胁。
其次，立法者希望了解当前改进台湾防空能力的努力的进展情况。
所要求的简报还将阐述台湾防空系统与美国防空系统的连接和运作能力。
最后，拟议的立法将规定五角大楼“如何最好地支持台湾迅速获取防空能力”。
1979年的《台湾关系法》要求华盛顿向台湾提供武器，以保卫自己免受北京的攻击，而北京不赞成美国向台北出售武器。
兰德公司在2016年的一份评估中指出：“台湾面临着世界上最困难的防空问题，因此无法轻易借鉴其他国家在防空方面的投资来指导其军力结构决策。”“使台湾的防空问题如此困难的是其与中国的接近程度，再加上中华人民共和国在一系列威胁台湾飞机的系统上所做的大规模投资，这些威胁不仅发生在空中，还发生在地面上。”
三十多年来，北京一直在投资弹道导弹、巡航导弹和先进飞机等能力，旨在摧毁台北的防空系统。
美国政策制定者正试图从俄罗斯对乌克兰的战争中吸取教训，以应用于对中国可能试图武力夺取台湾的计划。
今年春季，一位美国高级军事官员表示，俄罗斯的行动为现代战争设定了一个新的标准，对美国和所有现代武装部队都有广泛的影响：弹道导弹攻击的常态化。
根据一位美国国防部高级官员的说法，截至上个月，俄罗斯已对乌克兰发射了1500多枚导弹，包括巡航导弹和弹道导弹。",美众议院军事委员会在2023财年国防政策法案中提出条款，要求国防部长在2023年3月前起草改进台湾防空反导能力的方案。该条款若生效，（一）国防部将对台湾应对中国大陆导弹威胁的防空能力开展评估；（二）了解当前提高台湾防空能力的最新进展；（三）规划台湾防空系统与美国防空系统连接与运行的能力；（四）规定“如何最好地支持台湾迅速获得防空能力。”美高级军事官员表示，俄罗斯的行动开创了现代战斗的新基准，对美国和所有现代武装力量产生了弹道导弹常态化攻击的影响。众议院正寻求从俄罗斯对乌克兰的战争中吸取教训，以应对中国“武力夺取”台湾的潜在企图。
